date,rent,home_price,year,median_household_income,HPI,rent_burden,rent_yoy,price_yoy,HPI_yoy
2019-05-31,2926.872810473307,1086827.58362672,2019,133076.0,8.1669691276167,0.2639279338549376,0.02414644801611532,0.0025450173201304604,-0.046197552805671505
2019-06-30,2945.513051741073,1073990.7724520783,2019,133076.0,8.070506871652878,0.2656087996400018,0.02373681289253926,-0.03393045590427024,-0.08089963103952647
2019-07-31,2958.1206803315836,1066957.1518889756,2019,133076.0,8.017652708895486,0.266745680393001,0.023683018640028086,-0.056102980426148696,-0.10199415326454797
2019-08-31,2960.310917035584,1064076.6316747218,2019,133076.0,7.996007031130496,0.2669431828761536,0.02156096310861555,-0.0698900269482533,-0.11511088965561445
2019-09-30,2949.4704557883188,1066892.480710212,2019,133076.0,8.017166737129248,0.2659656547345864,0.021771082352154414,-0.07758495926322406,-0.12243170333102704
2019-10-31,2938.4174188789425,1069712.761659868,2019,133076.0,8.038359746760257,0.26496895778763496,0.0251879176289187,-0.08276799390624967,-0.1273627448713115
2019-11-30,2924.443774909068,1072919.3803780137,2019,133076.0,8.06245589270803,0.26370889791479163,0.023785513958594295,-0.08349015680328442,-0.12804979705008124
2019-12-31,2931.4984396561654,1076552.8515405527,2019,133076.0,8.089759622625813,0.2643450455068832,0.026643747362781633,-0.07962886516038603,-0.12437623690594735
2020-01-31,2935.607092615945,1083672.3091807452,2020,,,,0.025089093225922232,-0.06568629410601734,
2020-02-29,2950.340761624887,1093634.9027044105,2020,,,,0.02832602868373968,-0.04260490227345881,
2020-03-31,2960.5669967274016,1104166.624405518,2020,,,,0.026170549716626246,-0.015176764781295815,
2020-04-30,2956.7744607071813,1108223.7858611012,2020,,,,0.017883332271334984,0.005920283111352065,
2020-05-31,2943.7238371936887,1102900.9673655943,2020,,,,0.005757348477898772,0.014789267387967708,
2020-06-30,2913.953815107316,1091554.6051796442,2020,,,,-0.010714342825641987,0.01635380226541905,
2020-07-31,2885.737906371417,1083944.2181641872,2020,,,,-0.024469175460432147,0.015921038858155656,
2020-08-31,2849.150610119625,1086580.522895642,2020,,,,-0.03755021348476251,0.021148750523260595,
2020-09-30,2809.407118398972,1100949.4431743554,2020,,,,-0.047487621757483,0.031921644476744726,
2020-10-31,2763.6297504109934,1121180.7417269165,2020,,,,-0.059483607517761605,0.04811383196661678,
2020-11-30,2733.8501024091684,1145974.2049961362,2020,,,,-0.06517262329853679,0.0680897614062892,
2020-12-31,2706.6751318650236,1169628.6549761188,2020,,,,-0.07669228294643449,0.0864572540979982,
2021-01-31,2696.4162475541452,1187253.4665612534,2021,141562.0,8.386809077021047,0.2285711912140952,-0.08147917535130855,0.09558346790167183,
2021-02-28,2694.781071645895,1198082.0829762097,2021,141562.0,8.463302884786946,0.22843257978660048,-0.08662039765136953,0.09550461494372176,
2021-03-31,2707.5078057525084,1205347.028487499,2021,141562.0,8.514622769440239,0.22951140609083018,-0.08547659662984275,0.09163508644943574,
2021-04-30,2736.187989800779,1218035.5040773049,2021,141562.0,8.604254701666441,0.23194258259709066,-0.07460375278459475,0.0990880358436621,
2021-05-31,2773.3367807733575,1235508.6561658448,2021,141562.0,8.727685792556228,0.23509163030530997,-0.057881467774763995,0.12023535450966105,
2021-06-30,2818.7566501270244,1255111.242653802,2021,141562.0,8.866159298779348,0.23894180501493545,-0.03266941448651128,0.14983825518031724,
2021-07-31,2867.7150941561895,1272534.498075799,2021,141562.0,8.989237917490563,0.24309193943201055,-0.006245477863888849,0.1739852261318542,
2021-08-31,2906.582901957701,1285621.61763704,2021,141562.0,9.081685887717326,0.24638670563775877,0.020157688973719834,0.18318117299854686,
2021-09-30,2927.2183497437504,1296240.2687183004,2021,141562.0,9.15669649141931,0.24813594182707932,0.04193455287175207,0.17738400864336246,
2021-10-31,2929.298734795512,1306768.0145562212,2021,141562.0,9.231064936608844,0.24831229297089716,0.0599461575342648,0.1655284165365265,
2021-11-30,2915.8236037808338,1321135.1137411476,2021,141562.0,9.332554737437643,0.2471700261748916,0.06656308669275757,0.15284891054384753,
2021-12-31,2912.729277337052,1341760.9898334322,2021,141562.0,9.478256805028414,0.24690772472870276,0.07612814077544927,0.14716836333052052,
